Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
210,17049003,A017049003,1054,054 Tinnahinch,Carlow,South-East,SE,Southern,2,10
186,17050001,A017050001,1047,047 Tullow Rural,Carlow,South-East,SE,Southern,1,60
187,17050002,A017050002,1047,047 Tullow Rural,Carlow,South-East,SE,Southern,0,0
188,17050003,A017050003,1047,047 Tullow Rural,Carlow,South-East,SE,Southern,1,36
189,17050004,A017050004,1047,047 Tullow Rural,Carlow,South-East,SE,Southern,0,0
190,17051001,A017051001,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
191,17051002,A017051002,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,3,21
192,17051003,A017051003,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
193,17051004,A017051004,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
194,17051005,A017051005,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
195,17051006,A017051006,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
197,17051008,A017051008,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
198,17051009,A017051009,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,1,9
199,17051010,A017051010,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
200,17051011,A017051011,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
201,17051012,A017051012,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
202,17051013,A017051013,1048,048 Tullow Urban,Carlow,South-East,SE,Southern,0,0
184,17052001,A017052001,1046,046 Tullowbeg,Carlow,South-East,SE,Southern,0,0
185,17052002,A017052002,1046,046 Tullowbeg,Carlow,South-East,SE,Southern,1,9
47,17053001,A017053001,1010,010 Williamstown,Carlow,South-East,SE,Southern,0,0
25,17054001,A017054001,1002,002 Graigue Urban,Carlow,South-East,SE,Southern,0,0
26,17054002,A017054002,1002,002 Graigue Urban,Carlow,South-East,SE,Southern,0,0
27,17054003,A017054003,1002,002 Graigue Urban,Carlow,South-East,SE,Southern,2,26
29,17054006,A017054006,1002,002 Graigue Urban,Carlow,South-East,SE,Southern,0,0
30,17054007,A017054007,1002,002 Graigue Urban,Carlow,South-East,SE,Southern,0,0
17309,27001001,A027001001,32035,035 Ardue,Cavan,Border,BMW,North and West,0,0
17310,27001002,A027001002,32035,035 Ardue,Cavan,Border,BMW,North and West,0,0
17311,27001003,A027001003,32035,035 Ardue,Cavan,Border,BMW,North and West,1,41
17312,27001004,A027001004,32035,035 Ardue,Cavan,Border,BMW,North and West,0,0
17313,27002001,A027002001,32036,036 Arvagh,Cavan,Border,BMW,North and West,1,4
17314,27002002,A027002002,32036,036 Arvagh,Cavan,Border,BMW,North and West,0,0
17315,27002003,A027002003,32036,036 Arvagh,Cavan,Border,BMW,North and West,0,0
17316,27002004,A027002004,32036,036 Arvagh,Cavan,Border,BMW,North and West,0,0
17317,27002005,A027002005,32036,036 Arvagh,Cavan,Border,BMW,North and West,0,0
