GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,House/Bungalow,Flat/Apartment/BedSit,Caravan/Mobile home/Temperory,% House/Bungalow,% Flat/Apartment/BedSit,% Caravan/Mobile home/Temperory
N00000088,18576,Randalstown,95AA13,Antrim,NI,109,29,0,79,21,0
N00000089,18577,Randalstown,95AA13,Antrim,NI,168,0,0,100,0,0
N00000090,18578,Randalstown,95AA13,Antrim,NI,140,1,0,99.3,0.7,0
N00000091,18579,Randalstown,95AA13,Antrim,NI,171,13,0,92.9,7.1,0
N00000092,18580,Shilvodan,95AA14,Antrim,NI,177,2,1,98.3,1.1,0.6
N00000093,18581,Shilvodan,95AA14,Antrim,NI,146,0,0,100,0,0
N00000094,18582,Shilvodan,95AA14,Antrim,NI,167,0,0,100,0,0
N00000095,18583,Shilvodan,95AA14,Antrim,NI,157,0,2,98.7,0,1.3
N00000096,18584,Shilvodan,95AA14,Antrim,NI,164,1,3,97.6,0.6,1.8
N00000097,18585,Springfarm,95AA15,Antrim,NI,273,27,0,91,9,0
N00000098,18586,Springfarm,95AA15,Antrim,NI,450,22,0,95.3,4.7,0
N00000099,18587,Springfarm,95AA15,Antrim,NI,105,5,0,95.5,4.5,0
N00000100,18588,Springfarm,95AA15,Antrim,NI,105,63,0,62.5,37.5,0
N00000101,18589,Springfarm,95AA15,Antrim,NI,112,11,0,91.1,8.9,0
N00000102,18590,Springfarm,95AA15,Antrim,NI,114,12,0,90.5,9.5,0
N00000103,18591,Springfarm,95AA15,Antrim,NI,198,12,0,94.3,5.7,0
N00000104,18592,Springfarm,95AA15,Antrim,NI,109,23,0,82.6,17.4,0
N00000105,18593,Steeple,95AA16,Antrim,NI,129,23,0,84.9,15.1,0
N00000106,18594,Steeple,95AA16,Antrim,NI,72,37,0,66.1,33.9,0
N00000107,18595,Steeple,95AA16,Antrim,NI,111,16,0,87.4,12.6,0
N00000108,18596,Steeple,95AA16,Antrim,NI,94,22,0,81,19,0
N00000109,18597,Steeple,95AA16,Antrim,NI,192,42,0,82.1,17.9,0
N00000110,18598,Steeple,95AA16,Antrim,NI,107,20,0,84.3,15.7,0
N00000111,18599,Stiles,95AA17,Antrim,NI,137,1,0,99.3,0.7,0
N00000112,18600,Stiles,95AA17,Antrim,NI,148,0,0,100,0,0
N00000113,18601,Stiles,95AA17,Antrim,NI,122,2,0,98.4,1.6,0
N00000114,18602,Stiles,95AA17,Antrim,NI,124,0,0,100,0,0
N00000115,18603,Stiles,95AA17,Antrim,NI,126,6,0,95.5,4.5,0
N00000116,18604,Stiles,95AA17,Antrim,NI,101,25,0,80.2,19.8,0
N00000117,18605,Stiles,95AA17,Antrim,NI,58,34,0,63,37,0
